raw	family	qualifier	rows
P-20-r1-vs-r2-and-r2-vs-r3-double-swap	P-20	r1-vs-r2-and-r2-vs-r3-double-swap	1
P-20-r2-vs-ip	P-20	r2-vs-ip	1
P-20-r2r3-swap	P-20	r2r3-swap	1
P-20-r2r3-swap-post-doubleshift	P-20	r2r3-swap-post-doubleshift	1
P-20-r3-vs-ip	P-20	r3-vs-ip	1
P-20-r4-lr-swap	P-20	r4-lr-swap	1
P-20-r4-vs-lr	P-20	r4-vs-lr	1
P-20-r4r5-swap	P-20	r4r5-swap	1
P-20-r8-vs-r9-const-vs-masked-swap	P-20	r8-vs-r9-const-vs-masked-swap	1
P-20-redundant-const-preserve	P-20	redundant-const-preserve	1
P-20-reg-alloc	P-20	reg-alloc	1
P-20-regalloc-plus-imm-fold	P-20	regalloc-plus-imm-fold	1
P-20-register-letter	P-20	register-letter	1
P-20-register-permutation	P-20	register-permutation	1
P-20-register-swap-plus-scheduling	P-20	register-swap-plus-scheduling	1
P-20-row-offset	P-20	row-offset	15
P-20-scratch-reg-swap	P-20	scratch-reg-swap	1
P-20-scratch-register	P-20	scratch-register	1
P-20-self-overwrite-deref	P-20	self-overwrite-deref	1
P-23-confirmed	P-23	confirmed	1
P-23-tentative	P-23	tentative	1
P-27-post-call	P-27	post-call	3
P-29-mirror-mla-fusion-resistant	P-29	mirror-mla-fusion-resistant	1
P-3-constant-materialization	P-3	constant-materialization	1
P-30-adjacent-reg-pressure	P-30	adjacent-reg-pressure	1
P-30-adjacent-register-choice	P-30	P-30-adjacent-register-choice	3
P-30-parameter-register-rotation	P-30	parameter-register-rotation	1
P-30-scratch-register-choice	P-30	scratch-register-choice	1
P-30-whole-function-register-rotation	P-30	whole-function-register-rotation	3
P-31	P-31	formal anchor	5
P-31-canary-shape-negative	P-31	canary-shape-negative	1
P-31-if-conversion	P-31	if-conversion	1
P-31-if-conversion-mirrored	P-31	if-conversion-mirrored	1
P-31-inverted-partial-predication	P-31	inverted-partial-predication	1
P-31-mirror-C55	P-31	mirror-C55	1
P-31-reverse-wants-predication-got-branch	P-31	reverse-wants-predication-got-branch	1
P-31-tail-guard-if-conversion	P-31	tail-guard-if-conversion	1
P-31-tier-independent	P-31	tier-independent	1
P-32-scope-caveat	P-32	scope-caveat	1
P-32/P-33/C-45-ext	P-32+P-33+C-45	P-32/P-33/C-45-ext	1
P-33-adjacent-register-reuse	P-33	adjacent-register-reuse	1
P-33-bidirectional-mirror	P-33	bidirectional-mirror	1
P-34-prologue-pad-fold	P-34	prologue-pad-fold	2
P-35-subs-flag-fusion	P-35	subs-flag-fusion	1
P-36-address-hoist-across-branch	P-36	address-hoist-across-branch	1
P-36-adjacent	P-36	adjacent	1
P-36-adjacent-const-materialization	P-36	adjacent-const-materialization	1
P-36-adjacent-field-chain-interleave	P-36	adjacent-field-chain-interleave	1
P-36-adjacent-source-invariant	P-36	adjacent-source-invariant	1
P-36-adjacent-strength-reduction-plus-param-register-order	P-36	adjacent-strength-reduction-plus-param-register-order	1
P-36-argument-eval-order	P-36	argument-eval-order	1
P-36-boolean-materialization-order	P-36	boolean-materialization-order	1
P-36-call-adjacent-scheduling	P-36	call-adjacent-scheduling	1
P-36-cand-cmp-moveq-movne-order	P-36	cand-cmp-moveq-movne-order	1
P-36-cand-field-read-order	P-36	cand-field-read-order	1
P-36-cmp-vs-movs-canonicalization	P-36	cmp-vs-movs-canonicalization	1
P-36-condition-code-family	P-36	condition-code-family	1
P-36-const-hoist-across-loop	P-36	const-hoist-across-loop	1
P-36-eq-neg1-materialize-order	P-36	eq-neg1-materialize-order	1
P-36-instruction-scheduling	P-36	instruction-scheduling	1
P-36-ldm-fusion	P-36	ldm-fusion	1
P-36-literal-store-order	P-36	literal-store-order	1
P-36-load-pair-scheduling	P-36	load-pair-scheduling	1
P-36-param-materialize-scheduling	P-36	param-materialize-scheduling	1
P-36-pipeline-interleaving	P-36	pipeline-interleaving	11
P-36-pool-load-hoist	P-36	pool-load-hoist	1
P-36-poolhoist	P-36	poolhoist	5
P-36-postinc-pair	P-36	postinc-pair	2
P-36-ptr-increment-recompute-vs-persist	P-36	ptr-increment-recompute-vs-persist	1
P-36-redundant-branch-vs-predication-register-cascade	P-36	redundant-branch-vs-predication-register-cascade	1
P-36-reginterleave	P-36	reginterleave	1
P-36-store-postindex-fusion	P-36	store-postindex-fusion	1
P-36-sub2-pipeline-interleave	P-36	sub2-pipeline-interleave	1
P-36-sub5-call-adjacent-pool-schedule	P-36	sub5-call-adjacent-pool-schedule	1
P-36-sub9-addr-vs-load-hoist-cascade	P-36	sub9-addr-vs-load-hoist-cascade	1
P-36-tail-fallthrough-register-shift	P-36	tail-fallthrough-register-shift	1
P-37-free-lr-register-reuse	P-37	free-lr-register-reuse	1
P-37-scope-broadening-candidate	P-37	scope-broadening-candidate	1
P-38-tentative-void-loop-trailing-epilogue	P-38	tentative-void-loop-trailing-epilogue	1
P-39-tentative-dead-eor-flags-downgrade	P-39	tentative-dead-eor-flags-downgrade	1
P-4,P-11	P-4+P-11	P-4,P-11	1
P-40-adjacent-mvn-vs-poolload-constant-materialization	P-40	adjacent-mvn-vs-poolload-constant-materialization	1
P-40-constant-materialization	P-40	constant-materialization	1
P-40-immediate-materialization-add-vs-sub-encoding	P-40	immediate-materialization-add-vs-sub-encoding	1
P-6-routing	P-6	routing	2
RSB-immediate-constant-fusion-resists-source	PROVISIONAL:rsb-immediate-constant-fusion-resists-source	RSB-immediate-constant-fusion-resists-source	1
T-1-r1-vs-r2-scratch-register-renaming	PROVISIONAL:T-1	T-1-r1-vs-r2-scratch-register-renaming	1
T-1-r2-vs-r3-scratch-register-renaming	PROVISIONAL:T-1	T-1-r2-vs-r3-scratch-register-renaming	1
T-1-r4-vs-r5-first-call-result-register-choice	PROVISIONAL:T-1	T-1-r4-vs-r5-first-call-result-register-choice	1
address-fold	PROVISIONAL:address-fold	address-fold	1
and-shift-pair-collapse	PROVISIONAL:and-shift-pair-collapse	and-shift-pair-collapse	1
asm-int	PROVISIONAL:inline-asm	asm-int	2
bitfield	PROVISIONAL:bitfield/bit-pack	bitfield	2
bitfield-branch	PROVISIONAL:bitfield/bit-pack	bitfield-branch	1
bitfield-insert-lowering-and-vs-shift-fusion	PROVISIONAL:bitfield/bit-pack	bitfield-insert-lowering-and-vs-shift-fusion	1
bitfield-model	PROVISIONAL:bitfield/bit-pack	bitfield-model	1
bitfield-read-lowering-and-vs-shift-plus-r3-push-alloc	PROVISIONAL:bitfield/bit-pack	bitfield-read-lowering-and-vs-shift-plus-r3-push-alloc	1
boolean-collapse-vs-orig-double-cmp	PROVISIONAL:predication/branch	boolean-collapse-vs-orig-double-cmp	1
branch-polarity-cse	PROVISIONAL:predication/branch	branch-polarity-cse	1
byte-pack-mask-form-plus-pool-refold	PROVISIONAL:pool/address-cse	byte-pack-mask-form-plus-pool-refold	1
c-23	C-23	formal anchor	1
c-44	C-44	formal anchor	5
c-55	C-55	formal anchor	21
c-56	C-56	formal anchor	2
c-58	C-58	formal anchor	1
c-59	C-59	formal anchor	1
c-60	C-60	formal anchor	2
c-61	C-61	formal anchor	4
c-63	C-63	formal anchor	1
c-64	C-64	formal anchor	2
call-arg-scheduling-residual	PROVISIONAL:call-arg-scheduling-residual	call-arg-scheduling-residual	1
canary-lever-residual	PROVISIONAL:canary-residual	canary-lever-residual	4
canary-lever-residual-2nd-access	PROVISIONAL:canary-residual	canary-lever-residual-2nd-access	1
canary-lever-residual-iplr	PROVISIONAL:canary-residual	canary-lever-residual-iplr	1
changed-bool	PROVISIONAL:changed-bool	changed-bool	1
changed-bool-family-r0-reuse	PROVISIONAL:changed-bool-family-r0-reuse	changed-bool-family-r0-reuse	4
changed-bool-reg-reuse	PROVISIONAL:changed-bool-reg-reuse	changed-bool-reg-reuse	3
cmpne-predication-nonadjacent-or	PROVISIONAL:predication/branch	cmpne-predication-nonadjacent-or	1
combined-levers	PROVISIONAL:combined-levers	combined-levers	1
complex-216B-leaf-extra-scratch-registers	PROVISIONAL:register-pressure/cascade	complex-216B-leaf-extra-scratch-registers	1
complex-372B-global-register-shift	PROVISIONAL:register-pressure/cascade	complex-372B-global-register-shift	1
complex-372B-multi-loop-reg-cascade	PROVISIONAL:register-pressure/cascade	complex-372B-multi-loop-reg-cascade	1
complex-388B-large-register-pressure-mismatch	PROVISIONAL:register-pressure/cascade	complex-388B-large-register-pressure-mismatch	1
complexity	PROVISIONAL:complexity	complexity	1
compound-compare-3way	PROVISIONAL:compound-compare-3way	compound-compare-3way	1
compound-compare-same-reg	PROVISIONAL:compound-compare-same-reg	compound-compare-same-reg	1
condition-fusion-redundant-cmp	PROVISIONAL:predication/branch	condition-fusion-redundant-cmp	1
constant-decomposition	PROVISIONAL:constant-materialization	constant-decomposition	1
constant-fold-mask-collapse-register-cascade	PROVISIONAL:register-pressure/cascade	constant-fold-mask-collapse-register-cascade	1
constant-materialization	PROVISIONAL:constant-materialization	constant-materialization	1
constant-materialization-peephole	PROVISIONAL:constant-materialization	constant-materialization-peephole	1
constant-zero-register-materialization-not-reproduced	PROVISIONAL:constant-materialization	constant-zero-register-materialization-not-reproduced	1
control-flow-structural-mismatch	PROVISIONAL:control-flow-structural-mismatch	control-flow-structural-mismatch	1
control-flow-tail-merge	PROVISIONAL:control-flow-tail-merge	control-flow-tail-merge	1
cross-call-scratch-reg-reuse-r3-subrow-not-source-forceable	PROVISIONAL:register-choice	cross-call-scratch-reg-reuse-r3-subrow-not-source-forceable	1
cross-call-self-and-result-persistence-reg-alloc-mismatch	PROVISIONAL:cross-call-self-and-result-persistence-reg-alloc-mismatch	cross-call-self-and-result-persistence-reg-alloc-mismatch	1
cross-overlay-bl-module-none	PROVISIONAL:cross-overlay	cross-overlay-bl-module-none	1
dead-call-result-register-reuse	PROVISIONAL:register-choice	dead-call-result-register-reuse	1
dead-param-preservation-move-not-elided	PROVISIONAL:dead-param-preservation-move-not-elided	dead-param-preservation-move-not-elided	1
dead-result-compare-after-call	PROVISIONAL:dead-result-compare-after-call	dead-result-compare-after-call	1
dead-until-later-param-register-choice-plus-bitpack	PROVISIONAL:register-choice	dead-until-later-param-register-choice-plus-bitpack	1
dead-value-register-reuse-changed-bool-P36-adjacent	PROVISIONAL:register-choice	dead-value-register-reuse-changed-bool-P36-adjacent	2
dense-bitfield-scheduling	PROVISIONAL:dense-bitfield-scheduling	dense-bitfield-scheduling	1
divmod-runtime-plus-reg-alloc	PROVISIONAL:divmod-runtime-plus-reg-alloc	divmod-runtime-plus-reg-alloc	1
epilogue-shape	PROVISIONAL:frame/epilogue	epilogue-shape	4
epilogue-tail-merge-residual	PROVISIONAL:epilogue-tail-merge-residual	epilogue-tail-merge-residual	1
extra-2-register-cascade	PROVISIONAL:register-pressure/cascade	extra-2-register-cascade	1
extraction-scratch-register-swap	PROVISIONAL:extraction-scratch-register-swap	extraction-scratch-register-swap	1
field-pool-base212-known-wall	PROVISIONAL:pool/address-cse	field-pool-base212-known-wall	1
fixed-point-blend-structural-mismatch	PROVISIONAL:fixed-point-blend-structural-mismatch	fixed-point-blend-structural-mismatch	1
fn-ptr-field-pool-b6c-dispatch	PROVISIONAL:pool/address-cse	fn-ptr-field-pool-b6c-dispatch	1
fold-predication-alloc	PROVISIONAL:predication/branch	fold-predication-alloc	1
frame-shape	PROVISIONAL:frame/epilogue	frame-shape	2
guard-chain-double-deref-p1reg	PROVISIONAL:guard-chain-double-deref-p1reg	guard-chain-double-deref-p1reg	4
independent-computation-interleave-scheduling	PROVISIONAL:independent-computation-interleave-scheduling	independent-computation-interleave-scheduling	2
indirect-call-plus-chained-cond	PROVISIONAL:indirect-call-plus-chained-cond	indirect-call-plus-chained-cond	1
induction-strength-reduction	C-65	induction-strength-reduction	2
instr-selection	PROVISIONAL:instruction-selection	instr-selection	1
instr-selection-const-materialize	PROVISIONAL:instruction-selection	instr-selection-const-materialize	1
instruction-selection	PROVISIONAL:instruction-selection	instruction-selection	8
large-diff-materialized-bool-mismatch	PROVISIONAL:constant-materialization	large-diff-materialized-bool-mismatch	1
large-diff-register-realloc	PROVISIONAL:register-pressure/cascade	large-diff-register-realloc	6
large-diff-scheduling-mismatch	P-36	large-diff-scheduling-mismatch	1
large-word-count-gap-field-width-uncertainty	PROVISIONAL:large-word-count-gap-field-width-uncertainty	large-word-count-gap-field-width-uncertainty	1
ldm-fusion-residual	PROVISIONAL:ldm-fusion-residual	ldm-fusion-residual	1
legacy-prologue-r3-pad-vs-subsp4-register-pressure	PROVISIONAL:register-pressure/cascade	legacy-prologue-r3-pad-vs-subsp4-register-pressure	1
lo-hi-register-swap	PROVISIONAL:register-choice	lo-hi-register-swap	2
load-fusion	PROVISIONAL:memory-order/fusion	load-fusion	1
load-order	P-36	load-order	1
load-scheduling-interleave	P-36	load-scheduling-interleave	1
load-scheduling-residual	PROVISIONAL:load-scheduling-residual	load-scheduling-residual	1
loop-index-count-register-role-swap-plus-stack-spill-risk	PROVISIONAL:register-choice	loop-index-count-register-role-swap-plus-stack-spill-risk	1
loop-invariant-const-register-order	PROVISIONAL:loop-invariant-const-register-order	loop-invariant-const-register-order	1
loop-invariant-hoist-register-cascade-P36-adjacent	PROVISIONAL:register-pressure/cascade	loop-invariant-hoist-register-cascade-P36-adjacent	1
loop-rotation-scheduling-residual	PROVISIONAL:loop-rotation-scheduling-residual	loop-rotation-scheduling-residual	1
loop-strength-reduction-plus-uncertain-div256-idiom	C-65	loop-strength-reduction-plus-uncertain-div256-idiom	1
loop-strength-reduction-register-role-cascade-P36-adjacent	PROVISIONAL:register-choice	loop-strength-reduction-register-role-cascade-P36-adjacent	1
m2c-dropped-trailing-args	PROVISIONAL:m2c-dropped-trailing-args	m2c-dropped-trailing-args	1
materialized-bool-global	PROVISIONAL:constant-materialization	materialized-bool-global	1
memory-width	PROVISIONAL:memory-width	memory-width	1
missing-char-reload-spill	PROVISIONAL:missing-char-reload-spill	missing-char-reload-spill	1
missing-top-guard-branch	PROVISIONAL:missing-top-guard-branch	missing-top-guard-branch	1
mistagged-brief294	PROVISIONAL:ledger-mistag	mistagged-brief294	3
mistagged-c34	PROVISIONAL:ledger-mistag	mistagged-c34	4
mixed-cache-vs-reread-register-pressure	PROVISIONAL:mixed-cache-vs-reread-register-pressure	mixed-cache-vs-reread-register-pressure	1
mla-operand-order-register-numbering-P17-adjacent	PROVISIONAL:mla-operand-order-register-numbering-p17-adjacent	mla-operand-order-register-numbering-P17-adjacent	1
mmio-bitfield-extract-register-shuffle	PROVISIONAL:mmio-bitfield-extract-register-shuffle	mmio-bitfield-extract-register-shuffle	1
mmio-const-materialization	PROVISIONAL:mmio-const-materialization	mmio-const-materialization	1
mmio-plus-complex-flow	PROVISIONAL:mmio-plus-complex-flow	mmio-plus-complex-flow	1
multi-table-reg-numbering	P-30	multi-table-reg-numbering	1
neg1-materialization-reg-swap	PROVISIONAL:constant-materialization	neg1-materialization-reg-swap	1
new-bitswap-scratch-register-pressure	PROVISIONAL:register-pressure/cascade	new-bitswap-scratch-register-pressure	1
new-imm-offset-truncation-fold	PROVISIONAL:new-imm-offset-truncation-fold	new-imm-offset-truncation-fold	1
new-repeated-addr-cse-vs-target-recompute	PROVISIONAL:pool/address-cse	new-repeated-addr-cse-vs-target-recompute	2
none	UNCLASSIFIED:none	no park class	324
off-mul-scratch-register-swap	PROVISIONAL:register-choice	off-mul-scratch-register-swap	3
optimizer-collapse	PROVISIONAL:instruction-selection	optimizer-collapse	1
ov004-core-changed-bool-family-partial	PROVISIONAL:ov004-core-changed-bool-family-partial	ov004-core-changed-bool-family-partial	2
ov011-core-documented-1reg-wall	PROVISIONAL:ov011-core-documented-1reg-wall	ov011-core-documented-1reg-wall	1
ov011-core-documented-multifield-rmw-wall	PROVISIONAL:ov011-core-documented-multifield-rmw-wall	ov011-core-documented-multifield-rmw-wall	1
ov011-core-multifield-rmw-wall-stack-variant	PROVISIONAL:frame/epilogue	ov011-core-multifield-rmw-wall-stack-variant	1
p-17	P-17	formal anchor	2
param-truncation-sequence	PROVISIONAL:param-truncation-sequence	param-truncation-sequence	1
permanent-header	PROVISIONAL:permanent-header	permanent-header	1
permuter-class-register-mirror	PROVISIONAL:register-choice	permuter-class-register-mirror	1
pool-const-materialize	PROVISIONAL:constant-materialization	pool-const-materialize	3
pool-constant-caching-resistance	PROVISIONAL:constant-materialization	pool-constant-caching-resistance	1
pop-lr-bx-vs-pop-pc-epilogue	PROVISIONAL:pop-lr-bx-vs-pop-pc-epilogue	pop-lr-bx-vs-pop-pc-epilogue	2
post-call-scratch-scheduling-cascade	P-36	post-call-scratch-scheduling-cascade	1
preamble-sink-scheduling	P-36	preamble-sink-scheduling	1
predicated-flag-scheduling-interleave	PROVISIONAL:predication/branch	predicated-flag-scheduling-interleave	1
predicated-pointer-vs-value-choice-on-final-compare	PROVISIONAL:predication/branch	predicated-pointer-vs-value-choice-on-final-compare	1
predication	PROVISIONAL:predication/branch	predication	13
predication-resistance-new	PROVISIONAL:predication/branch	predication-resistance-new	2
predication-vs-branch-dual-assignment	PROVISIONAL:predication/branch	predication-vs-branch-dual-assignment	1
push-vs-subsp-alignment-padding	PROVISIONAL:push-vs-subsp-alignment-padding	push-vs-subsp-alignment-padding	4
reciprocal-division-register-numbering-cascade	PROVISIONAL:reciprocal-division-register-numbering-cascade	reciprocal-division-register-numbering-cascade	1
reg-alloc	PROVISIONAL:register-allocation	reg-alloc	144
reg-alloc-2nd-loop-addressing	PROVISIONAL:register-allocation	reg-alloc-2nd-loop-addressing	1
reg-alloc-arg-spill-mismatch	PROVISIONAL:register-allocation	reg-alloc-arg-spill-mismatch	1
reg-alloc-diverge-stmia-merge	PROVISIONAL:register-allocation	reg-alloc-diverge-stmia-merge	1
reg-alloc-early-coordinate-swap-persistent-across-phrasings	PROVISIONAL:register-allocation	reg-alloc-early-coordinate-swap-persistent-across-phrasings	1
reg-alloc-extra-mov	PROVISIONAL:register-allocation	reg-alloc-extra-mov	1
reg-alloc-instr-scheduling	PROVISIONAL:register-allocation+scheduling	reg-alloc-instr-scheduling	1
reg-alloc-interleaved-bitfield-extraction-forces-r5-spill	PROVISIONAL:register-allocation	reg-alloc-interleaved-bitfield-extraction-forces-r5-spill	1
reg-alloc-missing-store-reload-roundtrip-for-multi-read-bitfield	PROVISIONAL:register-allocation	reg-alloc-missing-store-reload-roundtrip-for-multi-read-bitfield	1
reg-alloc-mul-dest-swap-plus-LS-vs-EQ-condcode-persistent	PROVISIONAL:register-allocation	reg-alloc-mul-dest-swap-plus-LS-vs-EQ-condcode-persistent	4
reg-alloc-preamble-mismatch	PROVISIONAL:register-allocation	reg-alloc-preamble-mismatch	1
reg-alloc-predication	PROVISIONAL:register-allocation	reg-alloc-predication	1
reg-alloc-preexisting-global-asm-wall	PROVISIONAL:register-allocation	reg-alloc-preexisting-global-asm-wall	1
reg-alloc-push-list-mismatch	PROVISIONAL:reg-alloc-push-list-mismatch	reg-alloc-push-list-mismatch	1
reg-alloc-scratch-register-choice-ip-vs-r0-persistent	PROVISIONAL:register-allocation	reg-alloc-scratch-register-choice-ip-vs-r0-persistent	1
reg-alloc-single-load-dest-choice-persistent	PROVISIONAL:register-allocation	reg-alloc-single-load-dest-choice-persistent	1
reg-alloc-stack-footprint-mismatch	PROVISIONAL:register-allocation	reg-alloc-stack-footprint-mismatch	2
regalloc-cascade-unresolved	PROVISIONAL:register-pressure/cascade	regalloc-cascade-unresolved	1
register-allocation-scheduling	PROVISIONAL:register-allocation+scheduling	register-allocation-scheduling	3
register-choice	PROVISIONAL:register-choice	register-choice	5
register-choice-post-call-mov-before-const	PROVISIONAL:register-choice	register-choice-post-call-mov-before-const	1
register-choice-post-guard	PROVISIONAL:register-choice	register-choice-post-guard	1
register-choice-residual-v-flags-swap	PROVISIONAL:register-choice	register-choice-residual-v-flags-swap	1
register-numbering-permutation-cascade	P-30	register-numbering-permutation-cascade	2
register-numbering-permutation-cascade-P36-adjacent	P-30	register-numbering-permutation-cascade-P36-adjacent	9
register-pressure-cascade-dual-advancing-pointers	PROVISIONAL:register-pressure/cascade	register-pressure-cascade-dual-advancing-pointers	1
register-pressure-passthrough-args-vs-computed	PROVISIONAL:register-pressure/cascade	register-pressure-passthrough-args-vs-computed	1
register-reuse-preference	PROVISIONAL:register-choice	register-reuse-preference	1
register-role-rotation-field2-holder	PROVISIONAL:register-choice	register-role-rotation-field2-holder	1
register-role-rotation-plus-LS-vs-EQ-mnemonic	PROVISIONAL:register-choice	register-role-rotation-plus-LS-vs-EQ-mnemonic	5
register-role-rotation-side-count-array-idx	PROVISIONAL:register-choice	register-role-rotation-side-count-array-idx	1
register-role-rotation-side-rec-cat-idx	PROVISIONAL:register-choice	register-role-rotation-side-rec-cat-idx	1
register-set-mismatch	PROVISIONAL:register-set-mismatch	register-set-mismatch	1
register-spill-pressure-8-live-values	PROVISIONAL:register-spill-pressure-8-live-values	register-spill-pressure-8-live-values	1
row-address-mla-add-operand-register-order-not-source-forceable	PROVISIONAL:pool/address-cse	row-address-mla-add-operand-register-order-not-source-forceable	1
scheduler-interleave-reg-swap	P-36	scheduler-interleave-reg-swap	1
scheduling-cmp-reuse	P-36	scheduling-cmp-reuse	1
scheduling-diff	P-36	scheduling-diff	1
scheduling-order	P-36	scheduling-order	1
scheduling-wall	P-36	scheduling-wall	2
self-vs-scratch-register-swap	PROVISIONAL:register-choice	self-vs-scratch-register-swap	1
shifted-add-fusion-residual	PROVISIONAL:shifted-add-fusion-residual	shifted-add-fusion-residual	1
sibling-constant-arithmetic-reuse	PROVISIONAL:sibling-constant-arithmetic-reuse	sibling-constant-arithmetic-reuse	1
smulbb-instruction-selection-and-r5-reuse-residual	PROVISIONAL:instruction-selection	smulbb-instruction-selection-and-r5-reuse-residual	1
sp3-dead-store-stack-pad-reg-pressure	PROVISIONAL:frame/epilogue	sp3-dead-store-stack-pad-reg-pressure	2
spill-vs-extra-register-mismatch	PROVISIONAL:spill-vs-extra-register-mismatch	spill-vs-extra-register-mismatch	1
stack-slot-assignment-mismatch	PROVISIONAL:stack-slot-assignment-mismatch	stack-slot-assignment-mismatch	1
statement-order	P-36	statement-order	1
stm-burst-needs-asm	PROVISIONAL:inline-asm	stm-burst-needs-asm	1
stmib-grouping-scheduling	P-36	stmib-grouping-scheduling	1
stmib-grouping-scheduling-p7-split	P-36	stmib-grouping-scheduling-p7-split	1
store-coalescing	PROVISIONAL:memory-order/fusion	store-coalescing	1
store-order	PROVISIONAL:memory-order/fusion	store-order	1
str-stmib-fusion-residual	PROVISIONAL:str-stmib-fusion-residual	str-stmib-fusion-residual	2
strength-reduction	C-65	strength-reduction	1
struct-by-value-return-abi	PROVISIONAL:struct-by-value-return-abi	struct-by-value-return-abi	1
struct-stride-uncertainty	PROVISIONAL:struct-stride-uncertainty	struct-stride-uncertainty	1
structural	PROVISIONAL:structural	structural	9
switch-jumptable-inline-bxlr-vs-shared-branch-consolidation	PROVISIONAL:switch-jumptable-inline-bxlr-vs-shared-branch-consolidation	switch-jumptable-inline-bxlr-vs-shared-branch-consolidation	1
switch-plus-struct-reg-alloc	PROVISIONAL:switch-plus-struct-reg-alloc	switch-plus-struct-reg-alloc	1
switch-value-register-letter-reuse	PROVISIONAL:switch-value-register-letter-reuse	switch-value-register-letter-reuse	3
tier-verification-inferior	PROVISIONAL:tier-verification-inferior	tier-verification-inferior	1
tool-anomaly	UNCLASSIFIED:tool-anomaly	fastmatch/sha1 disagreement; tool follow-up	1
unclear	PROVISIONAL:unclear	unclear	1
unconditional-arg-spill-to-stack	PROVISIONAL:unconditional-arg-spill-to-stack	unconditional-arg-spill-to-stack	1
unknown	UNCLASSIFIED:unknown	raw value is unknown	259
unsigned-cast	PROVISIONAL:unsigned-cast	unsigned-cast	1
xor-order	PROVISIONAL:xor-order	xor-order	2
zero-const-register-reuse	PROVISIONAL:zero-const-register-reuse	zero-const-register-reuse	1
